reference_type,author,year,title,keyword,abstract
journal_article,"Cox, S. K., Root, J. R., & Gilley, D.",2021,Let's See That Again: Using Instructional Videos to Support Asynchronous Mathematical Problem Solving Instruction for Students With Autism Spectrum Disorder,Autism spectrum disorders.//Instructional films.//Word problems (Mathematics).//Problem solving.//Special education teachers.//Assistive technology.//virtual reality.//Videos,"The Pandemic has required teachers to find ways to provide high-quality instruction in a virtual format. Video-based instruction is a version of technology-aided instruction that has been effectively used in classrooms to improve mathematical outcomes for students with disabilities. This manuscript describes how a special education teacher can utilized Video-based instruction through free online platforms (i.e., SeeSaw, Loom) to implement a mathematical problem solving instructional strategy (modified schema-based instruction) for students with autism spectrum disorder while at home. modified schema-based instruction utilizing video-based instruction has successfully been used by teachers and researchers to improve additive and multiplicative problem solving skills for students with autism spectrum disorder. This manuscript describes how special education teachers can support students and their caregivers by providing high-quality problem solving instruction in a virtual environment. "
journal_article,"Deveci Topal, A., Kolburan Geçer, A., & Çoban Budak, E.",2021,An analysis of the utility of digital materials for high school students with intellectual disability and their effects on academic success,Special education.//Computer applications.//Single-subject research.//models.//Students with intellectual disability.//And digital materials.//technology.//performance.//disorder.//Computer Science.//Engineering,"This study thoroughly examines the usability of digital materials, to establish a classroom environment in which technology is integrated into teaching practices using tablet computers and interactive smart boards. The study was conducted at a special education vocational school, where students with intellectual disability receive training. The integration of technology was made to the Natural Disasters unit (erosion, landslide, flood, earthquake, and digital story developed on the subject of flood) in the Social Science syllabus. This study also aims to develop multimedia applications and apply these to teaching activities, and additionally to increase the learning competencies of students in the subject of Social Sciences. This study involved eight students who have mild intellectual disability at a vocational high school. A thorough multiple probe design was used among single-subject research models. Comparison of the results revealed that students' post-test scores increased significantly when compared to the pre-test scores, and that the teaching materials had a significantly positive impact on their learning process. Moreover, the effect of the prepared digitalized materials on learning was determined to be high in terms of its application in special education schools. Students indicated that they liked these activities which they engaged on computers, as well as the interactive multiple choices questions, and wished to have such creative applications made available for other subjects such as Turkish, Mathematics, Music, and Art."
thesis,"Donnelly, S. M. ",2021,A study of the effectiveness of IXL math online software on student achievement in an urban middle school,Data driven decision making.//Differentiation.//Disability status.//Ethnicity.//Gender.//IXL.//Mathematics Achievement.//Middle School Students.//Urban Environments.//Academic Achievement.//Computer Software.//Decision Making.//Ethnic Identity,"The purpose of this study is to evaluate the effectiveness of IXL Math online software in raising student achievement on the New York State Math exam, with special focus on effects by student gender, ethnicity and disability status. The study includes an analysis of the relationship between scale scores and time spent using the IXL system, number of problems attempted, and skills mastered. This study is significant because national, state and local measures indicate no measurable improvement in math achievement with an alarming percentage of students scoring below proficient levels. Further, past studies examined teacher perception or student motivation regarding educational technology and achievement. To date, is the only study independently analyzing the effectiveness of a widely-used online learning application, IXL Math, in a Title 1 urban Middle School consisting of 6th, 7th and 8th grade students and measuring the impact of the online program on students most at-risk, and whose attributes comprise the lowest third percentile of achievers. A quasi-experimental research design was conducted by comparing two distinct cohorts of students—one using traditional paper assignments and the other completing IXL online assignments, and using statistical analysis, a determination was made that there was no significant difference in the scale scores between the two groups. Additionally, the interaction between IXL and gender, ethnicity, and disability, and its effect on math scores was analyzed. Two-way analysis of variance tests and Pearson's correlation were conducted using SPSS software package. The major findings are discussed offering recommendations for future practice and research. "
journal_article,"Emprin, F., & Petitfour, É.",2021,Using a Simulator to Help Students with Dyspraxia Learn Geometry,Developmental Disabilities.//Perceptual Motor Coordination.//Computer Simulation.//Computer Uses in Education.//Teaching Methods.//Mathematics Instruction.//Geometry.//Learning Processes.//Instructional Effectiveness.//Freehand Drawing.//Outcomes of Education,"This article investigates how a computer simulator for human interactions and a dyadic system in a pencil-and-paper environment can contribute to helping students with poor motor co-ordination, notably those with dyspraxia, to learn geometry. The aim is to design an alternative way to teach the subject, and to explore its effects on the learning processes. Geometric construction is an important element in the curriculum in primary and secondary school, but is not an end in itself. We draw upon Efraim Fischbein's work, in particular the link between the figural and conceptual aspects of geometric objects, in order to design a simulator that can execute geometrical constructions for students with motor co-ordination problems, who find drawing difficult. Our initial experiment with students with dyspraxia and their peers showcases the potential benefits of alternating human--human and human--avatar dyads. It serves as a proof of concept and highlights the way in which students appropriate the artifact and construct an instrument in the context of drawing."
journal_article,"Guarini, A., Tobia, V., Bonifacci, P., Faldella, G., & Sansavini, A. ",2021,"Magnitude Comparisons, Number Knowledge and Calculation in VeryPreterm Children and Children With Specific Learning Disability: A Cross-Population Study Using Eye-Tracking","Eye-Tracking Technology*.//Learning Disabilities*.//Child.//Child Development.//Humans.//Infant, Newborn.//Mathematics.//Reaction Time.//disability*.//eye tracking*.//learning*.//mathematics*.//numeracy*","Difficulties in mathematics have been described in very preterm children, but their origins are not well understood and may differ from other populations with specific learning disability. Very preterm children, children with learning disability, and typically developing children were compared in mathematics skills, using standardized tools, experimental tasks, and eye-tracker measures. We assessed symbolic and nonsymbolic magnitude comparisons, number knowledge, calculation, as well as cognitive skills of 103 Italian-speaking fourth and fifth graders. Compared to typically developing peers, very preterm children showed delays in number knowledge, slower reaction times in nonsymbolic magnitude comparisons, and an atypical gaze exploration characterized by more and shorter fixations that lacked a target preference. The profile of mathematics skills of very preterm children appeared different from that of children with learning disability. Although both populations showed mainly preserved cognitive skills and slower reaction times in nonsymbolic magnitude comparisons, children with specific learning disability showed more severe impairments in calculation and were slower in symbolic magnitude comparisons, compared to very preterm children. Including eye-tracking measures in preterm follow-up programs and planning tailored interventions are recommended."
journal_article,"Harbour, K. E., & Denham, A. R.",2021,Supporting All Students: Productive Mathematical Discourse in Online Environments,LEARNING disabilities.//ASYNCHRONOUS learning.//LEARNING.//ONLINE education.//STUDENTS with disabilities.//discourse.//mathematics.//online learning.//students with learning disabilities,"Classroom instruction focused on discussion-based learning opportunities can provide productive and inclusive learning experiences for all students, including students with learning disabilities in mathematics and those without learning disabilities. Mathematical discourse allows students to share their ideas, justify their thinking, critique the reasoning of others, and refine their thought processes. While one might typically envision mathematical discourse happening during face-to-face instruction, meaningful discourse can also occur in online learning environments. This article presents a blended format of both synchronous and asynchronous learning opportunities, coupled with Smith and Stein's (2018) ""5 Practices"" for productive mathematical discourse, to support teachers in designing and facilitating lessons in which all students are actively engaged in the learning processes both for themselves and their classmates. "
journal_article,"Hopkins, S., & O'Donovan, R. ",2021,Developing Assessments for Students with Intellectual Disability to Support Differentiation,Mental disabilities.//Students with disabilities.//Disabilities.//Assistive technology.//Financial literacy.//Functional analysis,In this paper we describe the development of an online tool for assessing the foundational knowledge and competencies essential to understanding money and building financial literacy. We present findings from an initial study using the tool to (i) measure basic skills with money among secondary students with intellectual disability (N = 85) and (ii) test predictions regarding item difficulty. Item difficulty was explained using a system of 36 levels of complexity based on task type and variations in the number and combination of denominations presented. Implications of the results are discussed in terms of how sensitive assessments can inform practitioners about how they might adapt tasks to differentiate their teaching. 
journal_article,"Kabel, M., Hwang, J., & Hwang, J. ",2021,Lessons Learned From a Rural Classroom Study: Transitioning From Concrete to Virtual Manipulatives to Teach Math Fact Fluency to Students With Learning Disabilities. ,Virtual  manipulatives.//rural  school.//math  fact  fluency.//learning disabilities,"As the use of technology has become more prevalent within the educational environment over the past decade, the emergence of the use of virtual manipulatives to support student learning in math has made transitioning to technology-infused math instruction unavoidable. Students in rural areas, however, have tended to receive far less technology-infused instruction due to the many challenges faced by rural schools that can adversely affect academic opportunities and disrupt equity in learning and teaching. In the current paper, we report on a classroom study conducted to examine whether the previously proven effects of concrete manipulatives can carry over into those of virtual manipulatives when teaching math fact fluency in multiplication and explored the potential for virtual manipulatives in rural classrooms from the teacher’s perspective.  Quantitative and qualitative results both indicated a promising potential for usage of virtual manipulatives, with meaningful implications for practitioners. The educational implications for designing and planning effective instruction incorporating virtual manipulatives are discussed."
journal_article,"Kritzer, K. L., & Green, L.",2021,Playing With Code: An Innovative Way to Teach Numeracy and Early Math Concepts to Young DHH Children in the 21st Century,Special education.//Thought & thinking.//Problem solving.//Computer assisted instruction.//Children with disabilities.//Learning.//Hearing disorders.//Educational technology.//Alternative education.//Children.//Muscular sense.//Executive function (Neuropsychology).//Deafness.//Mathematics.//Programming languages.//Medical coding,"While focusing on numeracy is essential in preschool classrooms with deaf and hard of hearing children, it is also important that concepts of numeracy be taught in a way that incorporates executive functions, introduces computational thinking, and prepares students for life in a 21st-century world. Technology-enhanced teaching resources (e.g. Code-a-pillar, Bee-Bot, Kubo) provide coding opportunities that engage young children in problem solving, planning, and organization. These tools provide kinesthetic experiences in the exploration of early numeracy skills like counting, addition, subtraction, and estimation. The present article provides a rationale for including 21st-century teaching practices and educational technology resources in preschool classrooms with deaf and hard of hearing children as one path toward strengthening early mathematics understanding. The authors also offer tips for teachers on how to select technology tools for classroom use and ways to integrate the use of these tools as part of meaningful mathematics instruction. "
journal_article,"Lambert, R., & Schuck, R.",2021,“The Wall Now Between Us”: Teaching Math to Students with Disabilities During the COVID Spring of 2020,COVID-19.//Disabled students.//Distance learning.//Education.//Educational Policy and Politics.//general.//International and Comparative Education.//Learning and Instruction.//Mathematical problems.//Mathematics education.//Online instruction.//Online learning.//Problem solving.//Regular.//Regular Article.//Self regulation.//Sociology of Education.//Special education.//Students with disabilities,"This paper presents a case study of the experiences of a special educator named Ms. Montes (pseudonym) teaching standards-based mathematics during Emergency Remote Teaching during spring 2020. Ms. Montes was interviewed twice during this period. Data were analyzed through inductive thematic analysis. Pre-COVID, Ms. Montes provided her students daily opportunities to tackle challenging mathematical problems and taught self-regulation strategies for students to better understand themselves as learners. After the shift to Emergency Remote Teaching, Ms. Montes described “the wall between us” as various barriers that made teaching mathematics online far more challenging. Challenges included supporting students with productive struggle when not physically present with them and supporting student self-regulation during mathematical problem-solving. Supporting students with disabilities to learn mathematics during Emergency Remote Teaching and distance learning will require considering emotional and affective dimensions of learning. Coaching students and families in self-regulation strategies could support student engagement in mathematical problem-solving in online learning."
journal_article,"Lanfranchi, S., Onnivello, S., Lunardon, M., Sella, F., & Zorzi, M.",2021,Parent-based training of basic number skills in children with Down syndrome using an adaptive computer game,Down Syndrome*.//Video Games*.//Aptitude.//Child.//Cognition.//Humans.//Basic number skills.//Down syndrome.//Number Race.//Training,"Background: Numeracy is an area of difficulty for children with Down syndrome. It has been demonstrated that The Number Race, a non-commercial adaptive computer game designed to foster basic mathematical abilities, represents a promising instrument to enhance these skills in children with Down Syndrome when delivered by an expert in a clinical setting.; Aims: In the present study, we assessed the efficacy of The Number Race when administered at home by properly instructed and remotely supervised parents.; Methods and Procedures: Basic numerical skills were assessed before and after training, as well as at three-months follow-up. Performance of children with Down Syndrome who worked at home with the parent (PG) was compared with that of children who received the training by an expert (EG). For both groups, the training lasted ten weeks, with two weekly sessions of 20-30 min.; Outcomes and Results: Results show that both groups improved across various measures of numerical proficiency, including the overall score of the numeracy assessment battery, while only the EG showed an improvement in a measure of mental calculation. The improvements were maintained three months after the end of the training.; Conclusions and Implications: These findings confirm the efficacy of The Number Race and extend it to an home-based setting, whereby parents administer the training with external supervision."
journal_article,"Lee, O., & Shin, M. ",2021,Universal Design for Learning in Adapted National-level Digital Mathematics Textbooks for Elementary School Students with Disabilities,udl.//instruction.//Education & Educational Research,"Learning mathematics in an inclusive classroom is challenging for many students with disabilities. The adapted digital mathematics textbooks for Grades 3 to 6 in South Korea were designed to support these students' access to the general mathematics curriculum. This study evaluates these textbooks according to the Universal Design for Learning guidelines. The design features of the mathematics textbooks varied within and across various Universal Design for Learning checkpoints. Overall, the aspect of providing multiple means of action and expression was the most frequently observed, followed by providing multiple means of representation and providing multiple means of engagement. Special education teachers and textbook developers can use these results as a resource for designing curricula and lessons for students with disabilities in the inclusive classroom."
journal_article,"Long, H. M., Bouck, E. C., & Jakubow, L. N.",2021,Explicit Instruction in Mathematics: Considerations for Virtual Learning,Explicit instruction.//Students with disabilities.//At-risk students.//Mathematics students.//Online education.//Word problems (Mathematics),"A large number of students with and without disabilities—including students at-risk—are currently learning online through synchronous and/or asynchronous instruction. As such, it is important for educators to be equipped with evidence-based practices—or at the minimum research-based practices—that can be adapted or modified to teach students online, including the area of mathematics. This article discusses how educators can adapt and implement explicit instruction—an evidence-based practice for teaching students with disabilities in mathematics—to educate students with disabilities and those struggling or at-risk in mathematics within an online environment. In addition, this article presents resources for free and paid technology as well as additional considerations when implementing explicit instruction in an online environment. "
journal_article,"Long, H., Bouck, E., & Domka, A. ",2021,Manipulating Algebra: Comparing Concrete and Virtual Algebra Tiles for Students with Intellectual and Developmental Disabilities,support students.//mathematics.//Education & Educational Research,"Limited research exists to target algebra instruction for students with intellectual and developmental disabilities. In this study, researchers compared the use of concrete - with scaffolds added by researchers - and virtual algebra tiles - with inherent scaffolds - to support the acquisition, fluency, and generalization of linear algebra for three middle school students with intellectual and developmental disabilities. In the single case alternating treatments design, all three participants were successful in solving two-step addition and subtraction linear algebra problems with both manipulative types. Students were successful in best treatment sessions, but struggled to generalize to solving the problems without the use of the either manipulative. This study contributes to the limited literature on algebra instruction for students with intellectual and developmental disabilities and suggests both concrete and virtual algebra tiles can successful support students with linear algebra."
journal_article,"Morris, J. R., Hughes, E. M., Stocker, J. D., & Davis, E. S.",2021,"Using video modeling, Explicit Instruction, and augmented reality to Teach Mathematics to Students With Disabilities",augmented reality.//educational technology.//effective instruction.//explicit instruction.//mathematics.//mathematics disability.//mathematics instruction.//video modeling,"Students with exceptionalities who do not make adequate progress with core instruction in mathematics require more intensive research-based interventions such as explicit instruction or video modeling to address instructional needs. This study examined the effects of combining point-of-view video modeling, explicit instruction, and augmented reality to teach mathematics to students with disabilities. The researchers employed a multiple baseline across skills, single-subject research design, to evaluate the effects of the intervention on student performance across four mathematics skills. Two eighth grade students identified as having a disability impacting mathematics, one with autism spectrum disorder and one with a specific learning disability, participated in the study. Visual analysis determined a functional relation between the dependent and independent variables. Tau-U result for the intervention phase was 1.0 across all four skills for each participant. Participants demonstrated high levels of maintenance, and with one exception, students were able to apply the skills to word problems without additional training. Limitations and implications for future research and practice are discussed. "
journal_article,"Myers, J., Witzel, B., Bouck, E., & Mathis, J.",2021,Middle School Math Teachers’ Perceptions of Their Classroom Practices Among Students with Disabilities Before and During the Pandemic: A Pilot Study,mathematics instruction.//research-supported practices.//middle school.//students with disabilities.//eLearning,"In this study, the authors examined middle school mathematics teachers' perceptions of their instructional practices with students with disabilities during face-to-face instruction before the COVID-19 pandemic and eLearning during the pandemic. A survey explored teachers' use of research-supported practices and the challenges and supports that influenced teachers' instructional practice. Results showed teachers' reported classroom practices remained relatively consistent across both instructional modalities. Teachers also reported difficulties in providing accommodations and using small group instruction during eLearning. They noted barriers to eLearning related to student engagement and instructional planning and delivery. Finally, the study's findings, limitations, and implications for future research and pre-and in-service preparation are discussed."
thesis,"Park, J. ",2021,A fraction intervention using virtual manipulatives in synchronous online learning for students with mathematics learning disabilities,Online learning.//Mathematics learning disabilities.//Fractions,"Online learning provides customized instruction with high flexibility and accessibility, but research into the delivery of online interventions for students with disabilities remains scarce. The purpose of this study is to investigate the effects of fraction intervention that pair virtual manipulatives with instructional lessons featuring explicit instruction in synchronous online learning for fifth grade students with mathematics learning disabilities. A multiple probe baseline design across subjects was employed for the study. Three fifth-grade students with mathematics learning disabilities received explicit instruction in synchronous online learning via video conferencing programs. During the intervention, students received the 15 fraction lessons using virtual manipulatives in synchronous online learning environment. The participants’ percentages of correct answers on the researcher-developed probe were measured across baseline, intervention, and maintenance phases. After the intervention, the participants completed a social validity questionnaire which examined their perceptions of the online intervention using virtual manipulatives. The findings of the study showed that students' performance improved when the intervention was introduced, and that there was a functional relationship between the fraction intervention and students’ accuracy in solving problems on equivalent fractions. Specifically, the average performance levels across all participants increased from the baseline to the intervention phase (by 18.33% to 20%) with high effect sizes (PND of 80%-100%, NAP of 0.94-1.00, and Tau-U of 0.88-1.00). However, the extent of the effects and maintenance varied according to students' participation and perspectives toward online learning."
journal_article,"Park, J., Bouck, E. C., & Fisher, M. H.",2021,Using the Virtual-representational-Abstract With Overlearning Instructional Sequence to Students With Disabilities in Mathematics,mathematics.//instruction.//manipulatives.//maintenance.//intellectual disability.//teaching students.//support students.//math.//fluency.//Education & Educational Research,"While mathematics education is key to the post-school outcomes of students with disabilities, it has received less attention in research and practice compared with other aspects of educating this population. Skill maintenance is particularly crucial in mathematics because students build upon prior knowledge across grade levels. They also need to be able to apply mathematical skills in everyday life. Hence, this study utilized a multiple probe across-participants single-case experimental design to evaluate the effectiveness of the Virtual-representational-abstract with overlearning instructional sequence in teaching multiplication and supporting its maintenance among three students with disabilities. For each student, a functional relation existed between the Virtual-representational-abstract with overlearning instructional sequence and accuracy of solving multiplication problems. Students also maintained the skill up to 8 weeks after the intervention."
journal_article,"Park, J., Bryant, D. P., & Shin, M. ",2021,Effects of Interventions Using virtual manipulatives for Students With Learning Disabilities: A Synthesis of Single-Case Research,virtual manipulatives.//learning disabilities.//synthesis.//mathematics.//app-based manipulatives.//support students.//assistive technology.//mathematics.//concrete.//achievement.//acquisition.//ipads.//risk.//Education & Educational Research.//Rehabilitation,"virtual manipulatives are interactive and dynamic visual objects on a screen, which allow students to manipulate them to construct mathematical knowledge. The purpose of this study was to synthesize the literature on interventions that used virtual manipulatives to improve the mathematics performance of K-12 students with learning disabilities. A total of 19 single-case design studies (16 peer-reviewed articles and three dissertations) were selected using specific selection criteria. Overall, students with learning disabilities demonstrated mathematical improvement after receiving interventions involving virtual manipulatives. Although many students with learning disabilities maintained and generalized the intervention effects, further research is required to verify the current findings."
journal_article,"Remata, H. R., & Lomibao, L. S. ",2021,Attention Deficit Hyperactivity Disorder (ADHD)-Specific Learning Disorder (SLD) in Mathematics Learner’s Response towards Synchronous Online Class,attention deficit hyperactivity disorder.//specific learning disorder.//math disability.//multisensory approach.//concrete-representational-abstract progression.//working behavior.//Orton-Gillingham Math.//intervention,"Developing basic mathematics skills for all children especially those who are diagnosed with Attention Deficit Hyperactivity Disorder and math disability is not easy. And the sudden shift from face-to-face classes to online instructional delivery due to the unprecedented COVID-19 pandemic has been a challenge to them. Hence, this qualitative descriptive-exploratory case study was undertaken to explore the response of a learner with Attention Deficit Hyperactivity Disorder (ADHD) and Specific Learning Disorder with impairment in mathematics towards a synchronous online Orton-Gillingham Math intervention in terms of working behavior. The participant was chosen purposively based on the diagnosis, arithmetic calculation level, and unfamiliarity with the Orton-Gillingham-Math intervention. The participant was taught using the Orton-Gillingham-Math approach via an online platform for twice-a-week for 4 weeks. The online classes were recorded then transcribed with consent from the participant’s parent and school. The data were analyzed using trustworthy thematic analysis to ensure validity and reliability. The analysis revealed five (5) emerging themes namely symptoms of inattention, symptoms of hyperactivity and impulsivity, lowered vigilance, emotional understanding and reactivity, and active class participation. Despite the existence of these responses, the participant was still able to participate actively in synchronous online class and showed emotional competence. It can be concluded that learner-participant with Attention Deficit Hyperactivity Disorder-Specific Learning Disorder with impairment in math can thrive in synchronous online class given her short attention span."
journal_article,"Rodríguez, C., Jiménez, J. E., de León, S. C., & Marco, I.",2021,Multimedia Battery for Assessment of Cognitive and Basic Skills in Mathematics (BM-PROMA),Learning Disabilities*.//Multimedia*.//Child.//Cognition.//Humans.//Learning.//Mathematics,"Learning mathematics is a complex process that requires the development of multiple domain-general and domain-specific skills. It is therefore not unexpected that many children struggle to stay at grade level, and this becomes especially difficult when several abilities from both domains are impaired, as in the case of mathematical learning disabilities. Surprisingly, although mathematical learning disabilities is one of the most common neurodevelopmental disorders affecting schoolchildren, most of the diagnostic instruments available do not include assessment of domain-general and domain-specific skills. Furthermore, very few are computerized. To the best of our knowledge, there is no tool with these features for Spanish-speaking children. The purpose of this study was to describe the protocol for the diagnosis of Spanish mathematical learning disabilities children using the BM-PROMA multimedia battery. BM-PROMA facilitates the evaluation of both skill domains, and the 12 tasks included for this purpose are empirically evidence-based. The strong internal consistency of BM-PROMA and its multidimensional internal structure are demonstrated. BM-PROMA proves to be an appropriate tool for diagnosing children with mathematical learning disabilities during primary education. It provides a broad cognitive profile for the child, which will be relevant not only for diagnosis but also for individualized instructional planning."
journal_article,"Root, J. R., Cox, S. K., Gilley, D., & Wade, T. ",2021,Using a Virtual-representational-Abstract Integrated Framework to Teach Multiplicative Problem Solving to Middle School Students with Developmental Disabilities,"Problem Solving*.//Developmental Disabilities/*psychology.//Education, Special/*methods.//Mathematics/*education.//Students/*psychology.//Academic Performance/psychology.//Adolescent.//Autism Spectrum Disorder/psychology.//Female.//Humans.//Intellectual Disability/psychology.//Male.//Mathematical Concepts.//Schools.//Autism.//Intellectual disability.//Mathematics.//Problem solving","Integrated framework on the mathematical problem solving skills of three middle school students with developmental disabilities (autism spectrum disorder and intellectual disability). All participants improved in their problem solving accuracy when solving multiplicative comparison word problems using realistic double and triple multipliers. Additionally, all participants maintained their mathematical problem solving accuracy after visual supports (graphic organizer) were removed. Detailed findings and implications for future research and practitioners are discussed."
journal_article,"Root, J. R., Ingelin, B., & Cox, S. K.",2021,Teaching Mathematical Word Problem Solving to Students with Autism Spectrum Disorder: A Best-Evidence Synthesis,Autism spectrum disorders.//Problem solving.//Exceptional children.//Explicit instruction.//Task analysis,"This systematic review provides a synthesis of intervention research that taught mathematical word problem solving skills to students with autism spectrum disorder between 1975 and April of 2020 by evaluating the body of research in terms of ""what works"", ""for whom"" and ""under what conditions"". The Council for Exceptional Children (2014) quality indicators were used to evaluate methodology of the 20 included studies. The 18 studies that met the criteria to be classified as ""high quality"" were further analyzed in terms of intervention components (i.e., the ""what""), how effectiveness was measured (i.e., defining ""works""), characteristics of individuals included in the research (i.e., ""for whom"") and the tasks, settings, and instructors used (i.e., ""under what conditions""). While six practices met the Council for Exceptional Children criteria for classification ""evidence based"", including task analysis, system of least prompts, graphic organizers, explicit instruction, schema-based instruction, and technology assisted instruction, these practices were consistently used in combination as ""treatment packages"". Implications for practice and future research are discussed. "
journal_article,"Satsangi, R., Billman, R. H., & Raines, A. R.",2021,Comparing video modeling to Teacher-Led Modeling for Algebra Instruction with Students with Learning Disabilities,LEARNING disabilities.//STUDENTS with disabilities.//CLASSROOMS.//LEARNING disabled children.//TEACHERS.//MATHEMATICS students.//ALGEBRA,"Students with a mathematics learning disability face many challenges learning algebraic curricula. To support this population, targeted supplementary instruction beyond what is provided by a classroom teacher may benefit their learning outcomes. In this context, video modeling designed in accordance with an established instructional design framework may offer promise in mathematics for this population. While video modeling was studied extensively for students with severe disabilities, its application for students with a mathematics learning disability is limited. Using a single subject alternating treatments design, this study compared video modeling to teacher-led modeling for instructing three secondary students with a mathematics learning disability how to graph linear equations. Across intervention, all three students increased their performance on all dependent variables with both treatments, with teacher-led modeling providing greater accuracy scores for two of the three students. The results of this study and their implications for the field are discussed. "
journal_article,"Satsangi, R., Billman, R. H., Raines, A. R., & Macedonia, A. M.",2021,Studying the Impact of video modeling for Algebra Instruction for Students With Learning Disabilities,LEARNING disabilities.//STUDENTS with disabilities.//ALGEBRA.//MATHEMATICS education.//DISABILITIES.//learning disability.//mathematics.//video modeling,"An established research base exists for using video modeling to teach students with severe disabilities. However, the application of this strategy for teaching academic skills to students with a learning disability is less known, particularly in secondary mathematics. video modeling provides a resource for supplementary instruction using age-appropriate technology to support student learning. To explore the use of this strategy in algebra, this study assessed video modeling paired with a system of prompting to teach three secondary students with a mathematics learning disability how to graph linear equations. Using a single subject multiple probe design, the researchers found that student performance across multiple measures, including problem-solving accuracy and independence, improved for all three students during treatment phases. These results and their implications for the broader field of mathematics education are discussed. "
journal_article,"Satsangi, R., Raines, A. R., & Fraze, K. ",2021,virtual manipulatives for Teaching Algebra: A Research-to-Practice Guide for Secondary Students with a Learning Disability,Learning disabilities.//Students with disabilities.//Algebra.//Mathematics education (Secondary).//Educational technology,Many forms of assistive and instructional technology exist to support secondary students in mathematics education. Classroom technology provides particular benefits to students who frequently struggle learning academic content such as procedural and conceptual skills in algebra. One tool studied in mathematics to support the needs of students with or at-risk for a mathematics learning disability is virtual manipulatives. Research shows virtual manipulatives support cognition by providing visual representations of mathematical concepts and are an age appropriate technology solution for secondary students that promote autonomy inside and beyond the classroom setting. The aim of this article is to highlight research on virtual manipulatives for secondary students with a learning disability in mathematics and discuss techniques for teachers to incorporate these tools into their classrooms to support students. 
journal_article,"Schnepel, S., & Aunio, P. ",2021,A systematic review of mathematics interventions for primary school students with intellectual disabilities,Systematic review.//mathematics instruction.//intellectual disability.//numeracy.//intervention studies.//intervention intensity.//early numeracy skills.//teaching mathematics.//down-syndrome.//children.//moderate.//instruction.//number.//multiplication.//performance.//knowledge.//Education & Educational Research,"This systematic review investigates the characteristics of effective mathematics interventions for students with intellectual disabilities age 5 to 12, focusing on early numeracy, arithmetic, and arithmetical problem solving skills. Twenty studies from 2008-2020 were reviewed: 17 had a single-subject design and three a group-comparison design. The studies included a total of 135 students with intellectual disabilities. Consistent with previous studies, the analysis showed that interventions with systematic and explicit instruction with feedback and the use of manipulatives are effective instructional approaches and strategies for students with intellectual disabilities. This study reveals that effective interventions are well-structured, high intensity learning sequences adapted to the students' achievement level. The intensity of an intervention requires careful consideration of the number of intervention sessions per week and their duration. Further studies should investigate which instructional strategy is most effective for each type of skill and the optimum intensity of interventions."
journal_article,"Shin, M., Park, J., Grimes, R., & Bryant, D. P. ",2021,Effects of Using virtual manipulatives for Students With Disabilities: Three-Level Multilevel Modeling for Single-Case Data,MULTILEVEL models.//STUDENTS with disabilities.//PSYCHOLOGY of students.//DATA modeling.//DISABILITIES,"We synthesized studies published since 2000 that assessed the effects of using virtual manipulatives to increase the mathematical accuracy of students with disabilities. We extracted a total of 1,796 raw data points from 114 cases across 35 single-case studies. By applying three-level multilevel modeling, we analyzed both immediate effects and trends during the intervention phase as well as moderation effects related to student characteristics (case level) and intervention features (study level). Both the average immediate effect and trend during the intervention were statistically significant. The average immediate effect varied significantly by student grade, disability type, developer, device, type of virtual manipulative, and visual model embedded in virtual manipulatives. Neither student characteristics nor intervention feature–related moderators significantly influenced the average trend during the use of virtual manipulatives. "
journal_article,"Shurr, J., Bouck, E. C., Bassette, L., & Park, J.",2021,Virtual Versus Concrete: A Comparison of Mathematics Manipulatives for Three Elementary Students With Autism,PROBLEM solving.//MATHEMATICS.//ABILITY.//TRAINING.//ACADEMIC achievement.//AUTISM.//VOCABULARY.//SCHOOL children.//elementary.//intervention.//manipulatives.//technology,"Basic mathematic skills at the early age are foundational for later learning. Many students with autism spectrum disorder struggle in academic learning without sufficient support. Research in the area of concrete manipulatives—tangible representations of abstract concepts—has been found effective. In addition, promising research has emerged in the area of virtual manipulatives—virtual representations of abstract concepts—as tools to support mathematics skill acquisition. Using a multiple baseline across participants with an embedded alternating treatment design, this study presents a replication of previous research comparing the effects of concrete and virtual manipulatives in the acquisition of double-digit addition and word problem-solving abilities of three elementary students with autism spectrum disorder. Findings indicate that while both interventions produce better outcomes than baseline, the virtual manipulative condition appear to be more supportive than concrete manipulatives. "
journal_article,"Strickland, T. K.",2021,Algebra Instruction for Students with Learning Disabilities in the Era of Common Core,algebra.//learning disabilities.//secondary mathematics interventions,"The Common Core State Standards in Mathematics were released more than 10 years ago. This set of standards outlines the mathematics that all students should know and be able to do to prepare them for post-secondary education and employment. Students with learning disabilities continue to underperform in relation to their peers without disabilities in secondary mathematics. As high school Algebra I is a required course for the majority of students, research-based instructional practices should be utilized to support students with learning disabilities in Algebra I. This article summarizes recent research on instructional practices for teaching algebra content that aligns to the Common Core State Standards in Mathematics. Specifically, three types of instructional practices have been found to promote progress in the high school algebra content: (a) concrete-representational-abstract integration, (b) virtual manipulative instruction, and (C) gestures and diagrams. "
